problems,artist,artist_normalized,title,date,medium,dimensions,categories,file_name,file_url,description_url
missing artist~missing artist wikipedia link,,,Prescott Gate Quebec,"Circa 1845, after Bartlett's work from 1838","watercolor on paper English: 1 watercolour / aquarelle : watercolour, pencil and black crayon on wove paper Français : 1 Aquarelle : aquarelle, graphite et crayon noir sur papier vélin",Support: 68.000 x 50.700 cm,Images from Library and Archives Canada~Prescott gate~Quebec City in the 1830s~Watercolor paintings of buildings~Watercolor paintings in Canada~1840s watercolor paintings~William Henry Bartlett,failed_images/ unknown_00000001.jpg,http://upload.wikimedia.org/wikipedia/commons/8/8b/Porte_Prescott_aquarelle.jpg,http://commons.wikimedia.org/wiki/File:Porte_Prescott_aquarelle.jpg
missing artist~missing artist wikipedia link,,,Prescott Gate Quebec,"Circa 1845, after Bartlett's work from 1838","watercolor on paper English: 1 watercolour / aquarelle : watercolour, pencil and black crayon on wove paper Français : 1 Aquarelle : aquarelle, graphite et crayon noir sur papier vélin",Support: 68.000 x 50.700 cm,Images from Library and Archives Canada~Prescott gate~Quebec City in the 1830s~Watercolor paintings of buildings~Watercolor paintings in Canada~1840s watercolor paintings~William Henry Bartlett,failed_images/ unknown_00000002.jpg,http://upload.wikimedia.org/wikipedia/commons/8/8b/Porte_Prescott_aquarelle.jpg,http://commons.wikimedia.org/wiki/File:Porte_Prescott_aquarelle.jpg
missing dimensions,Jean-Étienne Liotard,jeanetienneliotard,Portrait of Archduchess Maria Anna of Austria (1738–1789),1762," English: Black chalk, red chalk, graphite pencil, watercolor, gouache glaze and washes of white chalk",,Empress Maria Theresa’s Children (Liotard series)~Archduchess Maria Anna of Austria (1738-1789)~18th-century pastel portraits of women at half length~18th-century portrait drawings of women at half length~Females with bracelets in art~Portrait paintings of women holding books,failed_images/ jeanetienneliotard_00000003.jpg,http://upload.wikimedia.org/wikipedia/commons/8/88/Maria_Anna_Austria_1770_1809_portrait1795.jpg,http://commons.wikimedia.org/wiki/File:Maria_Anna_Austria_1770_1809_portrait1795.jpg
missing dimensions,Jean-Étienne Liotard,jeanetienneliotard,Portrait of Archduchess Maria Anna of Austria (1738–1789),1762," English: Black chalk, red chalk, graphite pencil, watercolor, gouache glaze and washes of white chalk",,Empress Maria Theresa’s Children (Liotard series)~Archduchess Maria Anna of Austria (1738-1789)~18th-century pastel portraits of women at half length~18th-century portrait drawings of women at half length~Females with bracelets in art~Portrait paintings of women holding books,failed_images/ jeanetienneliotard_00000004.jpg,http://upload.wikimedia.org/wikipedia/commons/8/88/Maria_Anna_Austria_1770_1809_portrait1795.jpg,http://commons.wikimedia.org/wiki/File:Maria_Anna_Austria_1770_1809_portrait1795.jpg
missing artist~missing artist wikipedia link,,, English: Man with a Saluki Français : Homme au lévrier persant. فارسی: مرد با تازی بویی,circa 1555,gouache on canvas,18.3 × 13.8 cm (7.2 × 5.4 in),Persian miniatures~Dust Muhammad~1555 paintings~Featured pictures by Claritas~Gouache paintings~The David Collection,failed_images/ unknown_00000005.jpeg,http://upload.wikimedia.org/wikipedia/commons/4/4e/Man_with_a_Saluki.jpeg,http://commons.wikimedia.org/wiki/File:Man_with_a_Saluki.jpeg
missing artist~missing artist wikipedia link,,, English: Man with a Saluki Français : Homme au lévrier persant. فارسی: مرد با تازی بویی,circa 1555,gouache on canvas,18.3 × 13.8 cm (7.2 × 5.4 in),Persian miniatures~Dust Muhammad~1555 paintings~Featured pictures by Claritas~Gouache paintings~The David Collection,failed_images/ unknown_00000006.jpeg,http://upload.wikimedia.org/wikipedia/commons/4/4e/Man_with_a_Saluki.jpeg,http://commons.wikimedia.org/wiki/File:Man_with_a_Saluki.jpeg
missing dimensions,Aleksandr Vasilievich Lozhkin,aleksandrlozhkin, English: In the Provinces Русский: В провинции,1900s,"paper on cardboard, watercolor, gouache, graphite pencil, color chalk",,Aleksandr Lozhkin~Kostroma in art~1900s watercolor paintings~Flirting in art~Paintings in Perm State Art Gallery~Squares in art~Street lights in art~Watercolor paintings in Russia~Watercolor paintings of men~Watercolor paintings of cityscapes~Watercolor paintings of women,failed_images/ aleksandrlozhkin_00000007.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b1/In_the_Provinces_by_Aleksandr_Lozhkin_1900s.jpg,http://commons.wikimedia.org/wiki/File:In_the_Provinces_by_Aleksandr_Lozhkin_1900s.jpg
missing dimensions,Aleksandr Vasilievich Lozhkin,aleksandrlozhkin, English: In the Provinces Русский: В провинции,1900s,"paper on cardboard, watercolor, gouache, graphite pencil, color chalk",,Aleksandr Lozhkin~Kostroma in art~1900s watercolor paintings~Flirting in art~Paintings in Perm State Art Gallery~Squares in art~Street lights in art~Watercolor paintings in Russia~Watercolor paintings of men~Watercolor paintings of cityscapes~Watercolor paintings of women,failed_images/ aleksandrlozhkin_00000008.jpg,http://upload.wikimedia.org/wikipedia/commons/b/b1/In_the_Provinces_by_Aleksandr_Lozhkin_1900s.jpg,http://commons.wikimedia.org/wiki/File:In_the_Provinces_by_Aleksandr_Lozhkin_1900s.jpg
missing dimensions,Jean-Étienne Liotard,jeanetienneliotard,Portrait of Archduke Maximilian Francis of Austria (1756-1801),1762,"Black chalk, red chalk, graphite pencil, pastel and watercolor glazes",,Empress Maria Theresa’s Children (Liotard series)~Archduke Maximilian Franz of Austria~18th-century pastel portraits of boys~18th-century portrait drawings of boys~18th-century portraits of boys at half length~Portrait paintings of men holding tricorne hats,failed_images/ jeanetienneliotard_00000009.jpg,http://upload.wikimedia.org/wikipedia/commons/3/35/Archduke_Maximilian_by_Liotard.jpg,http://commons.wikimedia.org/wiki/File:Archduke_Maximilian_by_Liotard.jpg
missing dimensions,Jean-Étienne Liotard,jeanetienneliotard,Portrait of Archduke Maximilian Francis of Austria (1756-1801),1762,"Black chalk, red chalk, graphite pencil, pastel and watercolor glazes",,Empress Maria Theresa’s Children (Liotard series)~Archduke Maximilian Franz of Austria~18th-century pastel portraits of boys~18th-century portrait drawings of boys~18th-century portraits of boys at half length~Portrait paintings of men holding tricorne hats,failed_images/ jeanetienneliotard_00000010.jpg,http://upload.wikimedia.org/wikipedia/commons/3/35/Archduke_Maximilian_by_Liotard.jpg,http://commons.wikimedia.org/wiki/File:Archduke_Maximilian_by_Liotard.jpg
